energy,beamlet_uuid,output_info.minimum_cutoff,output_info.output_file_idx,output_info.idx_in_output,iso_center,image_file_idx,anatomical_region,beams.gantry_angle,beams.rays.ray_source,beams.rays.ray_target
83.1266,e46315b3-76f2-5588-b7a7-3802bad9072f,1.255873910205584e-06,0,0,"[-29.948, -14.556, 45.1108]",0,abdominal,270.0,"[-1029.95, -20.56, 30.11]","[-29.950000000000045, -20.56, 30.11]"
69.4389,7281785a-2877-569b-8bc0-5105dadb8f5b,9.821714633023453e-07,0,1,"[-29.948, -14.556, 45.1108]",0,abdominal,270.0,"[-1029.95, -20.56, 33.11]","[-29.950000000000045, -20.56, 33.11]"
72.3349,058543b1-3fa7-5c5a-9d9a-34abda158273,1.12898686957462e-06,0,2,"[-29.948, -14.556, 45.1108]",0,abdominal,270.0,"[-1029.95, -20.56, 33.11]","[-29.950000000000045, -20.56, 33.11]"
85.6587,2dae0c08-7b05-5f9d-b2c5-e794ae0fd600,1.3784088152629742e-06,0,3,"[-29.948, -14.556, 45.1108]",0,abdominal,270.0,"[-1029.95, -20.56, 33.11]","[-29.950000000000045, -20.56, 33.11]"
88.1344,6fef260a-c2ba-516d-8a4f-8339422a08b7,1.274876948901175e-06,0,4,"[-29.948, -14.556, 45.1108]",0,abdominal,270.0,"[-1029.95, -20.56, 33.11]","[-29.950000000000045, -20.56, 33.11]"
88.1344,713526a7-f2bb-5d38-9496-3d28e2911b5b,1.0049813273024535e-06,0,5,"[-29.948, -14.556, 45.1108]",0,abdominal,270.0,"[-1029.95, -20.56, 42.11]","[-29.950000000000045, -20.56, 42.11]"
80.5337,8f9e032f-1f33-5a5b-981c-84e4c6b42aa9,7.771645283890045e-07,0,6,"[-29.948, -14.556, 45.1108]",0,abdominal,270.0,"[-1029.95, -20.56, 45.11]","[-29.950000000000045, -20.56, 45.11]"
69.4389,e0fbe41c-eb21-55ad-88e7-df9f6ef62e86,1.002474613878842e-06,0,7,"[-29.948, -14.556, 45.1108]",0,abdominal,270.0,"[-1029.95, -20.56, 51.11]","[-29.950000000000045, -20.56, 51.11]"
72.3349,5d16e0f6-a2f8-5dbc-97aa-2e838bc0067c,1.0163741831959634e-06,0,8,"[-29.948, -14.556, 45.1108]",0,abdominal,270.0,"[-1029.95, -20.56, 51.11]","[-29.950000000000045, -20.56, 51.11]"
60.1259,214f2f7e-3003-53df-9c4a-cd1db8322666,9.265326425636442e-07,0,9,"[-29.948, -14.556, 45.1108]",0,abdominal,270.0,"[-1029.95, -20.56, 54.11]","[-29.950000000000045, -20.56, 54.11]"
63.3471,29b3ce99-c2ab-54d1-965e-af23e5d30bde,8.823386083500238e-07,0,10,"[-29.948, -14.556, 45.1108]",0,abdominal,270.0,"[-1029.95, -20.56, 54.11]","[-29.950000000000045, -20.56, 54.11]"
72.3349,12a3e0ae-30f0-5a83-ac3e-90077dfdaddd,1.1387818588391573e-06,0,11,"[-29.948, -14.556, 45.1108]",0,abdominal,270.0,"[-1029.95, -23.56, 33.11]","[-29.950000000000045, -23.56, 33.11]"
80.5337,fc9eea27-af2c-5661-b713-6590952dd202,1.148008220881697e-06,0,12,"[-29.948, -14.556, 45.1108]",0,abdominal,270.0,"[-1029.95, -23.56, 33.11]","[-29.950000000000045, -23.56, 33.11]"
83.1266,0b6cb4b2-4b5c-5204-8db9-4781aee559b8,1.0761159293130583e-06,0,13,"[-29.948, -14.556, 45.1108]",0,abdominal,270.0,"[-1029.95, -23.56, 33.11]","[-29.950000000000045, -23.56, 33.11]"
85.6587,388d7e1e-3d7d-5b63-8dd8-45c936ef16f6,1.1845836140792496e-06,0,14,"[-29.948, -14.556, 45.1108]",0,abdominal,270.0,"[-1029.95, -23.56, 36.11]","[-29.950000000000045, -23.56, 36.11]"
88.1344,73357af1-d50f-5836-a90e-3308b2f6ca3b,1.029373405122313e-06,0,15,"[-29.948, -14.556, 45.1108]",0,abdominal,270.0,"[-1029.95, -23.56, 39.11]","[-29.950000000000045, -23.56, 39.11]"
69.4389,68398e7f-ff05-55d5-8881-e2c773782e5c,1.0231042248512853e-06,0,16,"[-29.948, -14.556, 45.1108]",0,abdominal,270.0,"[-1029.95, -23.56, 51.11]","[-29.950000000000045, -23.56, 51.11]"
60.1259,eaea61f9-1462-59d6-9e11-ded22f124965,8.533330429584185e-07,0,17,"[-29.948, -14.556, 45.1108]",0,abdominal,270.0,"[-1029.95, -23.56, 54.11]","[-29.950000000000045, -23.56, 54.11]"
63.3471,cd75b494-db54-5c6f-8fc5-9035bb37a010,7.482497440841828e-07,0,18,"[-29.948, -14.556, 45.1108]",0,abdominal,270.0,"[-1029.95, -23.56, 54.11]","[-29.950000000000045, -23.56, 54.11]"
53.2453,d70f8513-2e21-52a9-96e8-2eb40bf7d5f3,8.072014148254859e-07,0,19,"[-29.948, -14.556, 45.1108]",0,abdominal,270.0,"[-1029.95, -23.56, 60.11]","[-29.950000000000045, -23.56, 60.11]"
66.4468,f78dcd49-6292-50fa-bcc3-0294b8193421,8.627618505369348e-07,0,20,"[-29.948, -14.556, 45.1108]",0,abdominal,270.0,"[-1029.95, -26.56, 36.11]","[-29.950000000000045, -26.56, 36.11]"
69.4389,3504f555-32ac-597f-b4df-d9b3517568b0,8.67139519421654e-07,0,21,"[-29.948, -14.556, 45.1108]",0,abdominal,270.0,"[-1029.95, -26.56, 36.11]","[-29.950000000000045, -26.56, 36.11]"
